latency,bram,latency_bram_product,design_name,optimizer_name
19487,44,857428,k15mmtree_imbalanced__opt5,discrete_simulated_annealing
19391,50,969550,k15mmtree_imbalanced__opt5,discrete_simulated_annealing
19278,56,1079568,k15mmtree_imbalanced__opt5,discrete_simulated_annealing
16232,0,0,k15mmtree_imbalanced__opt5,grouped_discrete_simulated_annealing
35618,204,7266072,k15mmtree_relu__opt5,random_search
30832,224,6906368,k15mmtree_relu__opt5,random_search
43547,164,7141708,k15mmtree_relu__opt5,random_search
31364,222,6962808,k15mmtree_relu__opt5,random_search
42684,182,7768488,k15mmtree_relu__opt5,random_search
36107,194,7004758,k15mmtree_relu__opt5,random_search
35395,212,7503740,k15mmtree_relu__opt5,random_search
36213,184,6663192,k15mmtree_relu__opt5,random_search
17269,128,2210432,k15mmtree_relu__opt5,group_random_search
24213,48,1162224,k15mmtree_relu__opt5,group_random_search
17270,96,1657920,k15mmtree_relu__opt5,group_random_search
17518,64,1121152,k15mmtree_relu__opt5,group_random_search
17270,120,2072400,k15mmtree_relu__opt5,heuristic
17272,88,1519936,k15mmtree_relu__opt5,heuristic
17269,128,2210432,k15mmtree_relu__opt5,init_simulated_annealing
24213,48,1162224,k15mmtree_relu__opt5,init_simulated_annealing
17270,96,1657920,k15mmtree_relu__opt5,init_simulated_annealing
17518,64,1121152,k15mmtree_relu__opt5,init_simulated_annealing
43710,114,4982940,k15mmtree_relu__opt5,discrete_simulated_annealing
36234,116,4203144,k15mmtree_relu__opt5,discrete_simulated_annealing
31283,122,3816526,k15mmtree_relu__opt5,discrete_simulated_annealing
27303,138,3767814,k15mmtree_relu__opt5,discrete_simulated_annealing
30961,128,3963008,k15mmtree_relu__opt5,discrete_simulated_annealing
27368,132,3612576,k15mmtree_relu__opt5,discrete_simulated_annealing
31278,124,3878472,k15mmtree_relu__opt5,discrete_simulated_annealing
25302,162,4098924,k15mmtree_relu__opt5,discrete_simulated_annealing
25187,168,4231416,k15mmtree_relu__opt5,discrete_simulated_annealing
17269,0,0,k15mmtree_relu__opt5,grouped_discrete_simulated_annealing
26523,176,4668048,k15mmtree_relu_imbalanced__opt5,random_search
25591,200,5118200,k15mmtree_relu_imbalanced__opt5,random_search
