design_name,optimizer_name,n_total,n_no_deadlock,n_deadlock
gesummv__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k15mmseq__opt5,random_search,1000,1000,0
k15mmseq__opt5,group_random_search,1000,1000,0
k15mmseq__opt5,heuristic,852,852,0
k15mmseq__opt5,init_simulated_annealing,2400,2400,0
k15mmseq__opt5,discrete_simulated_annealing,8000,8000,0
k15mmseq__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k15mmseq_imbalanced__opt5,random_search,1000,1000,0
k15mmseq_imbalanced__opt5,group_random_search,1000,1000,0
k15mmseq_imbalanced__opt5,heuristic,354,354,0
k15mmseq_imbalanced__opt5,init_simulated_annealing,2800,2800,0
k15mmseq_imbalanced__opt5,discrete_simulated_annealing,8000,8000,0
k15mmseq_imbalanced__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k15mmseq_relu__opt5,random_search,1000,1000,0
k15mmseq_relu__opt5,group_random_search,1000,1000,0
k15mmseq_relu__opt5,heuristic,654,654,0
k15mmseq_relu__opt5,init_simulated_annealing,800,800,0
k15mmseq_relu__opt5,discrete_simulated_annealing,8000,8000,0
k15mmseq_relu__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k15mmseq_relu_imbalanced__opt5,random_search,1000,1000,0
k15mmseq_relu_imbalanced__opt5,group_random_search,1000,1000,0
k15mmseq_relu_imbalanced__opt5,heuristic,354,354,0
k15mmseq_relu_imbalanced__opt5,init_simulated_annealing,1600,1600,0
k15mmseq_relu_imbalanced__opt5,discrete_simulated_annealing,8000,8000,0
k15mmseq_relu_imbalanced__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k15mmtree__opt5,random_search,1000,190,810
k15mmtree__opt5,group_random_search,1000,674,326
k15mmtree__opt5,heuristic,636,612,24
k15mmtree__opt5,init_simulated_annealing,2400,2337,63
k15mmtree__opt5,discrete_simulated_annealing,8000,4759,3241
k15mmtree__opt5,grouped_discrete_simulated_annealing,8000,6945,1055
k15mmtree_imbalanced__opt5,random_search,1000,1000,0
k15mmtree_imbalanced__opt5,group_random_search,1000,1000,0
k15mmtree_imbalanced__opt5,heuristic,756,756,0
